store_name,phone_numbers,website,cashback_percentage,rating,rating_count,categories,main_category,active,instagram,facebook,notes,city,district,street,house,address_notes,coordinates,operating_hours,total_locations
Madam Biju,,,3.0,5.0,55,Moda və stil | Qadın aksesuarları | Kişi aksesuarları | Saat və zinyat əşyaları,Moda və stil,True,https://instagram.com/madam_biju_baku?utm_medium=copy_link,,Smart Bonus - Umico kartını göstərmədən Kapital Bank kartları ilə ödəniş edə və avtomatik olaraq bonuslar ala bilərsən.,Bakı,Sabunçu,"Bakixanov qəsəbəsi, Səməd bəy Mehmandarov ",18,,"40.427973,49.957048",mon: 10:00-21:00; tue: 10:00-21:00; wed: 10:00-21:00; thu: 10:00-21:00; fri: 10:00-21:00; sat: 10:00-21:00; sun: 10:00-21:00,1
Aptek Aura,+994502731122,,1.0,4.7,60,Gözəllik və sağlamlıq | Apteklər,Gözəllik və sağlamlıq,True,,,,Bakı,Binəqədi,Binəqədi şossesi,244C,,"40.436274,49.844516",mon: 09:00-00:00; tue: 09:00-00:00; wed: 09:00-00:00; thu: 09:00-00:00; fri: 09:00-00:00; sat: 09:00-00:00; sun: 09:00-00:00,1
Smart Sweets,"+994555222120, +994702202010",,3.0,,0,Restoran və kafelər | Restoran və kafelər | İstirahət və əyləncə | Əyləncə | Restoran və kafelər,Restoran və kafelər,True,,,,Bakı,Səbail,Mehdi Hüseyn,,,"40.365804,49.827699",mon: 08:30-21:30; tue: 08:30-21:30; wed: 08:30-21:30; thu: 08:30-21:30; fri: 08:30-21:30; sat: 08:30-21:30; sun: 08:30-21:30,1
VINTAJ,+994774274766,,10.0,5.0,2,Moda və stil | Qadın aksesuarları | Kişi aksesuarları | Saat və zinyat əşyaları,Moda və stil,True,https://www.instagram.com/vintaj.az/?hl=en,,"Vintaj - zərgərlik və aksesuar mağazasıdır. Mağazanın çeşidlərinə Michael Kors, Marc Jacobs, Guess, Skagen, Bering, Daniel Wellington, Olivia Burton və s. Kimi məşhur brendlərin çox sayda saatları daxildir. Mağaza, müxtəlif çeşidli saatlarla yanaşı, kişilər və qadınlar üçün  möhtəşəm obraz  yarada bilən çoxsaylı, fərdi və dəst şəklində əldə edə biləcəyiniz zərif zərgərlik məhsulları ilə müştərilərini sevindirir: sırğalar, üzüklər, asqılar, bilərziklər, broşlar və daha çox şey.

Smart Bonus - Umico kartını göstərmədən Kapital Bank kartları ilə ödəniş edə və avtomatik olaraq bonuslar ala bilərsən.",Bakı,Səbail,M. Hüseynov prospekti,4,,"40.342361,49.840246",mon: 10:00-20:00; tue: 10:00-20:00; wed: 10:00-20:00; thu: 10:00-20:00; fri: 10:00-20:00; sat: 10:00-20:00; sun: 10:00-20:00,1
Express Telecom,+994512255050,,2.0,,0,Qurğu və texnologiyalar | Audio avadanlıq və aksessuarlar | Avtomobil elektronikası | Oyun konsolları | Telefon və Cihazlar,Qurğu və texnologiyalar,True,https://www.instagram.com/xiaomi_samsung_baku/,,,Bakı,Yasamal,Salatın Əsgərova,79,,"40.378696,49.830823",mon: 10:30-21:00; tue: 10:30-21:00; wed: 10:30-21:00; thu: 10:30-21:00; fri: 10:30-21:00; sat: 10:30-21:00; sun: 10:30-21:00,1
Mega Farm,,,1.0,4.9,9,Gözəllik və sağlamlıq | Apteklər,Gözəllik və sağlamlıq,True,https://instagram.com/aptek_meqafarm?igshid=YmMyMTA2M2Y=,,,Bakı,Nəsimi,Eldar Tagizade,16A,,"40.386065,49.84584",mon: 09:00-00:00; tue: 09:00-00:00; wed: 09:00-00:00; thu: 09:00-00:00; fri: 09:00-00:00; sat: 09:00-00:00; sun: 09:00-00:00,1
Occhi Optic,+994555152737,,3.0,4.5,9,Gözəllik və sağlamlıq | Optika,Gözəllik və sağlamlıq,True,https://www.instagram.com/occhioptic/,,"*UMICO bonusları əldə etmək üçün kartınızı təqdim etməlisiniz.
",Bakı,Nəsimi,Ü.Hacibəyov ,27,,"40.374674,49.851388",mon: 10:00-20:00; tue: 10:00-20:00; wed: 10:00-20:00; thu: 10:00-20:00; fri: 10:00-20:00; sat: 10:00-20:00; sun: 10:00-20:00,2
PAŞA Sığorta Bakı,+994125051222,https://bit.ly/KASKO_Onlayn_Muraciet,7.0,4.9,47,"Gözəllik və sağlamlıq | Həyat və sağlamlıq sığortası | Ev və məişət | Ev və əmlak sığortası | Avto, moto və digər nəqliyyat | Maşın üçün hər şey | Maşın sığortası",Gözəllik və sağlamlıq,True,https://www.instagram.com/pasha_insurance/,https://www.facebook.com/pasha.insurance,"*UMICO bonusları əldə etmək üçün kartınızı təqdim etməlisiniz.


*Keşbek yalnız Paşa Sığorta ofislərində ödəniş etdikdə tətbiq olunur
*UMİCO digər loyallıq kartları ilə edilən ödənişlərə şamil edilmir. *UMİCO hissə-hissə ödənişlərə şamil edilmir.",Bakı,Səbail,M.Useynov prospekti,61,,"40.358075,49.834038",mon: 09:00-18:00; tue: 09:00-18:00; wed: 09:00-18:00; thu: 09:00-18:00; fri: 09:00-18:00; sat: 10:00-17:00,1
Stimul Hospital,"+994125552020, +994125653808, +994125653838, +994517702020",,2.0,,0,Gözəllik və sağlamlıq | Tibb mərkəzləri və klinikalar,Gözəllik və sağlamlıq,True,instagram.com/stimulhospital/,facebook.com/stimulhospital.az/,,Bakı,Sabunçu,Yavər Əliyev,26C,Dairənin yanında,"40.433755,49.956616",mon: None-None; tue: None-None; wed: None-None; thu: None-None; fri: None-None; sat: None-None; sun: None-None,1
Real Market,,,1.0,,0,Supermarketlər,Supermarketlər,True,,,,Bakı,Səbail,Qurban Abbasov,60,5 № doğum evinin və Bublik şirniyyat evinin yanında,"40.344756,49.838422",mon: None-None; tue: None-None; wed: None-None; thu: None-None; fri: None-None; sat: None-None; sun: None-None,1
Division,+994702321004,http://division.az/,4.0,4.9,22,"Qurğu və texnologiyalar | Audio avadanlıq və aksessuarlar | Kompyuter texnikası və proqram təminatı | TV və video | Telefon və Cihazlar | Məişət texnikası | Foto, video kameralar və aksessuarlar",Qurğu və texnologiyalar,True,https://www.instagram.com/divisionbaku/,https://www.facebook.com/divisionstores/,"*UMICO bonusları əldə etmək üçün kartınızı təqdim etməlisiniz.

""DiVi"" Azərbaycan distribyuter bir şirkətdir. ""DiVi"" şirkəti Azərbaycan bazarında 1991-ci ildən fəaliyyət göstərir və Schneider Electric, Epson, Canon, Samsung, SanDisk və s. Tərəfindən Toshiba, Microsoft, HP, APC kimi şirkətlərin rəsmi tərəfdaşıdır.

*UMİCO taksitli alış veriş və digər bonus kartlarının istifadəsi zamanı şamil olunmur.",Bakı,Nəsimi,Nizami,106C,KONTİNENTAL market,"40.373645,49.843465",mon: 10:00-20:00; tue: 10:00-20:00; wed: 10:00-20:00; thu: 10:00-20:00; fri: 10:00-20:00; sat: 10:00-20:00; sun: 10:00-20:00,1
Laundry Cafe,+994557677676,,4.0,5.0,5,"Moda və stil | Tikiş, təmir və nəzarət | Quru təmizləmə və camaşırxana | Ev və məişət | Məişət xidmətləri | Ev tekstilinin kimyəvi təmizlənməsi | İstirahət və əyləncə | Əyləncə | Kofe evləri",Moda və stil,True,https://www.instagram.com/laundrycafe.az/,,,Bakı,Yasamal,Hüseyn Cavid ,5,16 saylı musiqi məktəbinin yaxınlığında,"40.364724,49.817118",mon: 10:00-19:00; tue: 10:00-19:00; wed: 10:00-19:00; thu: 10:00-19:00; fri: 10:00-19:00; sat: 10:00-19:00; sun: 10:00-19:00,1
UPS,,,3.0,4.8,6,Ev və məişət | Məişət xidmətləri | Sərnişin daşımaları,Ev və məişət,True,https://www.instagram.com/ups.azerbaijan/,https://www.facebook.com/ups.azerbaijan.llc,Smart Bonus - Umico kartını göstərmədən Kapital Bank kartları ilə ödəniş edə və avtomatik olaraq bonuslar ala bilərsən.,Bakı,Nəsimi,Kövkəb Səfərəliyeva ,31B ,,"40.3793,49.858088",mon: 10:00-18:00; tue: 10:00-18:00; wed: 10:00-18:00; thu: 10:00-18:00; fri: 10:00-18:00; sat: 11:00-18:00; sun: 11:00-18:00,1
Ameera Cosmetics,,,2.0,4.8,3,Gözəllik və sağlamlıq | Parfümeriya | Kosmetika və qulluq məhsulları,Gözəllik və sağlamlıq,True,,,"*UMICO bonusları əldə etmək üçün kartınızı təqdim etməlisiniz.

",Bakı,Nizami,Füzuli,77,,"40.379505,49.846344",mon: 10:00-21:00; tue: 10:00-21:00; wed: 10:00-21:00; thu: 10:00-21:00; fri: 10:00-21:00; sat: 10:00-21:00; sun: 10:00-21:00,1
Avaz Sanitariya,+994124403585,https://avazsanitariya.az/,3.0,,0,Ev və məişət | Məişət xidmətləri,Ev və məişət,True,https://www.instagram.com/avaz_sanitariya/,,Smart Bonus - Umico kartını göstərmədən Kapital Bank kartları ilə ödəniş edə və avtomatik olaraq bonuslar ala bilərsən.,Bakı,Nəsimi,Ə.Qasımzadə,71,Koroğlu Parkının yaxınlığı,"40.391771,49.844934",mon: 09:00-18:00; tue: 09:00-18:00; wed: 09:00-18:00; thu: 09:00-18:00; fri: 09:00-18:00; sat: 09:00-18:00; sun: 09:00-18:00,1
Dry Matic,+994125055960,https://drymatic.az/,2.0,4.8,36,"Moda və stil | Tikiş, təmir və nəzarət | Quru təmizləmə və camaşırxana | Ev və məişət | Məişət xidmətləri | Ev tekstilinin kimyəvi təmizlənməsi",Moda və stil,True,https://www.instagram.com/drymatic.az/,https://www.facebook.com/drymatic2018,Smart Bonus - Umico kartını göstərmədən Kapital Bank kartları ilə ödəniş edə və avtomatik olaraq bonuslar ala bilərsən.,Bakı,Səbail,Zərgərpalan,2С,,"40.368868,49.832988",mon: 09:00-20:00; tue: 09:00-20:00; wed: 09:00-20:00; thu: 09:00-20:00; fri: 09:00-20:00; sat: 09:00-20:00; sun: 09:00-20:00,2
Porland,+994512442535,,2.0,,0,"Ev və məişət | Məişət texnikası | Ev üçün təhlükəsizlik | Mebel, interyer və ev üçün məhsullar",Ev və məişət,True,https://www.instagram.com/porland/,,,Bakı,Nərimanov,Kazım Kazımzadə,44,,"40.388717,49.850365",mon: 10:00-21:00; tue: 10:00-21:00; wed: 10:00-21:00; thu: 10:00-21:00; fri: 10:00-21:00; sat: 10:00-21:00; sun: 10:00-21:00,1
Panço,+994505900076,,2.0,,0,Moda və stil | Uşaq geyimləri | Uşaq ayaqqabıları | Uşaq aksesuarları | Uşaq və analara | Uşaq geyimləri | Uşaq ayaqqabıları | Uşaq aksesuarları,Moda və stil,True,https://instagram.com/panco.aze?igshid=YmMyMTA2M2Y=,https://www.facebook.com/Panco.Baku/,"Panço, Türk markasının dəbli uşaq geyimlərinin Bakıda rəsmi mağazasıdır. Mağazanın çeşidi, hər gün üçün və xüsusi günlər üçün 0 yaşdan 14 yaşa qədər uşaqlar üçün geniş çeşidli geyim, ayaqqabı və aksesuar təqdim edir. Panço geyimləri yalnız yüksək keyfiyyətli və hipoalerjenik materiallardan hazırlanır, parlaq dizaynı və keyfiyyətli tikişi var.

",Bakı,Səbail,Neftçilər prospekti,26 A,,"40.35847,49.83792",mon: 10:00-22:00; tue: 10:00-22:00; wed: 10:00-22:00; thu: 10:00-22:00; fri: 10:00-22:00; sat: 10:00-22:00; sun: 10:00-22:00,2
CÀSÀ Culinary Arts Center of Azerbaijan,,https://old.casa.az/en/,4.0,4.9,16,Restoran və kafelər | Restoran və kafelər | İstirahət və əyləncə | Əyləncə | Restoran və kafelər,Restoran və kafelər,True,https://www.instagram.com/khan_bhc/?hl=en ,,,Bakı,Nəsimi, Neftçilər prospekti ,135,,"40.35837,49.83636",mon: 10:00-21:00; tue: 10:00-21:00; wed: 10:00-21:00; thu: 10:00-21:00; fri: 10:00-21:00; sat: 10:00-21:00; sun: 10:00-21:00,1
Kinezis Rehab Center,,,2.0,5.0,4,Gözəllik və sağlamlıq | Tibb mərkəzləri və klinikalar,Gözəllik və sağlamlıq,True,,,,Bakı,Xətai,Xeqani Rustemov,1025,,"40.381244,49.88103",mon: 10:00-18:00; tue: 10:00-18:00; wed: 10:00-18:00; thu: 10:00-18:00; fri: 10:00-18:00; sat: 10:00-18:00; sun: 10:00-18:00,1
NLT Telecom,"+994125982233, +994125982244",http://telecom.nlt.az/,7.0,5.0,34,"Qurğu və texnologiyalar | Audio avadanlıq və aksessuarlar | Kompyuter texnikası və proqram təminatı | Telefon və Cihazlar | Foto, video kameralar və aksessuarlar",Qurğu və texnologiyalar,True,https://www.instagram.com/nlttelecom/,https://www.facebook.com/nlttelecom/,*UMICO bonusları digər loyallıq kartlarının istifadəsi zamanı yüklənmir.,Bakı,Nəsimi,Nizami,83,,"40.3733,49.8415",mon: 10:00-20:00; tue: 10:00-20:00; wed: 10:00-20:00; thu: 10:00-20:00; fri: 10:00-20:00; sat: 10:00-20:00; sun: 10:00-20:00,3
Frey Wille Azerbaijan,"+994124938762, +994502106696",,2.0,,0,Moda və stil | Qadın aksesuarları | Saat və zinyat əşyaları,Moda və stil,True,,,Smart Bonus - Umico kartını göstərmədən Kapital Bank kartları ilə ödəniş edə və avtomatik olaraq bonuslar ala bilərsən.,Bakı,Səbail,Zərifə Əliyeva,27,,"40.370696,49.843465",mon: 10:00-20:00; tue: 10:00-20:00; wed: 10:00-20:00; thu: 10:00-20:00; fri: 10:00-20:00; sat: 10:00-20:00; sun: 10:00-20:00,1
Nargis Mirza,+994708308707,,2.0,,0,Moda və stil | Qadın geyimləri | Qadın aksesuarları | Gözəllik və sağlamlıq | Parfümeriya | Moda və stil | Qadın geyimləri | Qadın aksesuarları | Parfümeriya,Moda və stil,True,https://www.instagram.com/nargismirzaofficial/,,,Bakı,Yasamal,Zahid Xəlilov,121,,"40.38234,49.80987",mon: 10:00-22:00; tue: 10:00-22:00; wed: 10:00-22:00; thu: 10:00-22:00; fri: 10:00-22:00; sat: 10:00-22:00; sun: 10:00-22:00,1
Artromed Tibb Mərkəzi,+994125710858,,3.0,5.0,1,Gözəllik və sağlamlıq | Tibb mərkəzləri və klinikalar,Gözəllik və sağlamlıq,True,https://www.instagram.com/artromed_medical_center/,https://www.facebook.com/artromed.az/?locale=ru_RU,,Bakı,Xətai,Gəncə prospekti,34,,"40.360909,49.959907",mon: 09:00-17:00; tue: 09:00-17:00; wed: 09:00-17:00; thu: 09:00-17:00; fri: 09:00-17:00; sat: 09:00-17:00; sun: 09:00-17:00,1
Spa Ceylon Ayurveda Wellness,+994552097666,https://spaceylon.az/,2.0,,0,Gözəllik və sağlamlıq | Dekorativ kosmetika | Gigiyena məhsulları və avadanlıqları | Sağlamlıq məhsulları | Uşaq və analara | Gigiyena və uşaqlara nəzarət,Gözəllik və sağlamlıq,True,https://instagram.com/spaceylonaz?igshid=MzRlODBiNWFlZA==,,,Bakı,Xətai,Mərkəzi Bulvar,5,"Ağ şəhər, Həyat Park binasının altında","40.38518,49.884057",mon: 07:00-20:00; tue: 07:00-20:00; wed: 07:00-20:00; thu: 07:00-20:00; fri: 07:00-20:00; sat: 07:00-20:00; sun: 07:00-20:00,1
Macəra Adası,+994125254404,https://caspianentertainment.com/our-projects/macera-adasi-en,1.5,,0,Uşaq və analara | Uşaq bayramları | Uşaq əyləncəsi | İstirahət və əyləncə | Əyləncə | Uşaqlar üçün əyləncə,Uşaq və analara,True,https://www.instagram.com/macera.adasi.shuvelan/,https://www.facebook.com/macera.adasi.shuvelan,,Bakı,Xəzər,"Şüvəlan qəsəbəsi, Almaz İldırım",68,Shuvalan Park,"40.484534,50.184169",tue: 12:00-21:00; wed: 12:00-21:00; thu: 12:00-21:00; fri: 12:00-21:00; sat: 11:00-21:00; sun: 11:00-21:00,1
Enjoy Beauty Salon & Clinic,+994507668558,,3.0,,0,Gözəllik və sağlamlıq | İdman və gözəllik xidmətləri,Gözəllik və sağlamlıq,True,https://www.instagram.com/enjoy.beauty.salon.clinic/,,,Bakı,Yasamal,Şəfayət Mehdiyev,1054,,"40.39393,49.81567",mon: 10:00-20:00; tue: 10:00-20:00; wed: 10:00-20:00; thu: 10:00-20:00; fri: 10:00-20:00; sat: 10:00-20:00; sun: 10:00-20:00,1
My Parfumes,+994508055511,https://www.myparfumes.az/,3.0,,0,Gözəllik və sağlamlıq | Parfümeriya,Gözəllik və sağlamlıq,True,https://www.instagram.com/myparfumes.az/?hl=en,https://www.facebook.com/MyParfumes.azGroup/,,Bakı,Nəsimi,Azadlıq prospekti,18a,ADNSU yanında,"40.377572,49.848313",mon: 11:00-20:00; tue: 11:00-20:00; wed: 11:00-20:00; thu: 11:00-20:00; fri: 11:00-20:00; sat: 11:00-20:00; sun: 11:00-20:00,1
PandaGame,"+994505929999, +994773256999",https://pandagame.az,3.0,,0,İstirahət və əyləncə | Əyləncə,İstirahət və əyləncə,True,,,"Şirkətimiz Azərbaycanda, dünyada məhşur dİjital oyunların və sosial platformaların hədiyyə kartlarının satışını sərfəli güvənilir və rəsmi qaydada həyata keçirir.",Bakı,Nəsimi,Onlayn mağaza,,,"40.378009,49.85344",mon: None-None; tue: None-None; wed: None-None; thu: None-None; fri: None-None; sat: None-None; sun: None-None,1
OxyWell,+994554505363,https://oxywell.az/,1.5,,0,Gözəllik və sağlamlıq | Tibb mərkəzləri və klinikalar | Tibb laboratoriyaları,Gözəllik və sağlamlıq,True,https://www.instagram.com/oxywell.baku/,https://www.facebook.com/profile.php?id=61559426296115,,Bakı,Yasamal,Eldar Ağayev,102,Statistika komitəsinin yaxınlığında,"40.387684,49.820553",mon: 10:00-20:00; tue: 10:00-20:00; wed: 10:00-20:00; thu: 10:00-20:00; fri: 10:00-20:00; sat: 10:00-20:00; sun: 10:00-22:00,1
MI HOME (distribyutor),+994124411515,http://mimobile.az/,2.0,4.6,93,"Qurğu və texnologiyalar | Audio avadanlıq və aksessuarlar | Avtomobil elektronikası | Kompyuter texnikası və proqram təminatı | TV və video | Telefon və Cihazlar | Məişət texnikası | Foto, video kameralar və aksessuarlar | İstirahət və əyləncə | İdman və aktiv istirahət | İdman malları | Ağıllı ev",Qurğu və texnologiyalar,True,https://www.instagram.com/mihomeaze/,https://www.facebook.com/mimobile.az/,"*UMICO bonusları əldə etmək üçün kartınızı təqdim etməlisiniz.

MiMobile MMC Azərbaycanda geniş çeşiddə XIAOMI məhsullarının satışını həyata keçirir.

*Keşbek taksitli alış veriş və digər bonus kartlarının istifadəsi zamanı şamil olunmur
*Umico online satişlara şamil olunmur.

*Digər loyal kartların istifadəsində,taksit ödənişlərində və kartla ödənişdə UMİCO keçərli deyil.UMİCO1 kartı ilə ödənişdə isə UMİCO keçərlidir

Smart Bonus - Umico kartını göstərmədən Kapital Bank kartları ilə ödəniş edə və avtomatik olaraq bonuslar ala bilərsən.",Bakı,Nəsimi,Azadlıq prospekti,107,Amerika səfirliyinin yanı,"40.389215,49.842701",mon: 09:00-20:00; tue: 09:00-20:00; wed: 09:00-20:00; thu: 09:00-20:00; fri: 09:00-20:00; sat: 09:00-20:00; sun: 09:00-20:00,1
NewCond,+994502828814,http://www.newcond.az/index.php/ru/,2.0,4.9,11,Qurğu və texnologiyalar | Məişət texnikası | Ev və məişət | Məişət texnikası,Ev və məişət,True,https://www.instagram.com/mitsubishi_electric_azerbaijan/,https://www.facebook.com/NewCondMMC/,"*UMICO bonusları əldə etmək üçün kartınızı təqdim etməlisiniz.

NewCond - şirkəti Mitsubishi Electric və Aux brendlərinin kondisioner sistemləri üzrə Azərbaycandakı rəsmi distribyutorudur. Mağazalarda yaşayış, ticarət və senaye binaları üçün yüksək keyfiyyətli innovativ kondisionerlər, istilik və havalanma sistemləri təqdim olunub. Bütün məhsullar beynəlxalq standartlara uyğundur və müştərilərin yüksək tələblərinə cavab verir. NewCond Mitsubishi Electric Europe B.V-nin Azərbaycanda rəsmi distribyutorudur və Vaillant, Kermi, Beretta, Gruppo Ragaini kimi məşhur markalarla əməkdaşlıq edir.
* UMICO hissə-hissə və ya kreditlə edilən alış-verişə tətbiq edilmir",Bakı,Nəsimi,Həsən Əliyev,74,Tom və Cerri uşaq mağazasının yanı ,"40.400439,49.841374",mon: 10:00-19:00; tue: 10:00-19:00; wed: 10:00-19:00; thu: 10:00-19:00; fri: 10:00-19:00; sat: 10:00-19:00; sun: 10:00-19:00,2
MY LAUNDRY,+994124900578,http://mylaundry.az/xetai-rayonunda-camasirxana.html,2.0,4.9,137,Ev və məişət | Məişət xidmətləri | Ev tekstilinin kimyəvi təmizlənməsi,Ev və məişət,True,https://www.instagram.com/mylaundry.az/?hl=en,https://www.facebook.com/My-Laundry-411618728998389/,*Keşbek endirimdə olan xidmətlərə şamil olunmur.,Bakı,Xətai,Yusif Səfərov,10,,"40.378338,49.865443",mon: 09:00-20:00; tue: 09:00-20:00; wed: 09:00-20:00; thu: 09:00-20:00; fri: 09:00-20:00; sat: 09:00-20:00; sun: 09:00-20:00,1
MAC,+994502786092,,1.5,4.8,23,Gözəllik və sağlamlıq | Manikür və pedikür məhsulları | Parfümeriya | Kosmetika və qulluq məhsulları | Umico Shopping Fest,Gözəllik və sağlamlıq,True,,,"MAC eyni adlı məşhur dekorativ kosmetika markasının mağazalar şəbəkəsi və makiyaj studiyasıdır. Brendin çeşidinə 1500-dən çox daimi məhsul növü - gözlər, hər növ dəri və yaş üçün üz üçün dekorativ kosmetika, habelə dırnaq baxımı məhsulları, dəriyə qulluq kosmetikası, orqanayzerlər, kosmetik dəstlər və digər məhsullar daxildir. Mağazalarda sizi xarici görünüşünüzün xüsusiyyətlərinə uyğun olaraq ayrı-ayrılıqda məhsul seçməyə, həm də möhtəşəm bir görüntü yaratmağa kömək edəcək mehriban makiyaj ustaları ilə qarşılanacaqsınız. Geniş çeşidli peşəkar yüksək keyfiyyətli məhsullar və eksklüziv modellər sayəsində MAC, bütün dünya üzrə dekorativ kosmetika həvəskarlarının rəğbətini qazanmışdır.
*UMICO bonusları taksitli alışverişlərin  bütün məbləğinə hesablanır (Adore və Sabina daxili taksilər istisna olmaqla)
*Daxili taksit satışı üçün UMICO bonusları aylıq ödənişdən sonra hesablanır.
*Hədiyyə kartı alarkən UMICO bonusları hesablanır, UMICO hədiyyə kartından istifadə edərkən isə bonuslar hesablanmır.
*UMICO bonusları digər loyallıq, bonus, və mill kartlarının istifadəsi zamanı,hesablanmır.",Bakı,Nəsimi,Azadllq proskpekti,15a/4,28 Mall,"40.379218,49.846811",mon: 10:00-22:00; tue: 10:00-22:00; wed: 10:00-22:00; thu: 10:00-22:00; fri: 10:00-22:00; sat: 10:00-22:00; sun: 10:00-22:00,1
Improtex Trucks and Buses,+994124480200,,1.5,5.0,1,"Avto, moto və digər nəqliyyat | Maşın üçün hər şey | Maşın hissələri | Avtoservis","Avto, moto və digər nəqliyyat",True,,https://www.facebook.com/improtextrucksandbuses/,"*UMICO servis xidmətləri və ehtiyyat hissələrinə şamil edilir.

Smart Bonus - Umico kartını göstərmədən Kapital Bank kartları ilə ödəniş edə və avtomatik olaraq bonuslar ala bilərsən.",Bakı,Qaradağ,"Salyan şossesi, 15-ci km",,,"40.287739,49.735799",mon: 09:00-18:00; tue: 09:00-18:00; wed: 09:00-18:00; thu: 09:00-18:00; fri: 09:00-18:00; sat: 09:00-16:00,1
Zoostore,,,4.0,4.9,20,Ev və məişət | Ev heyvanları və heyvan ləvazimatları,Ev və məişət,True,https://www.instagram.com/zoostoreaz/,,,Bakı,Səbail,Xəqani,41,,"40.37492,49.848897",mon: 09:00-18:00; tue: 09:00-18:00; wed: 09:00-18:00; thu: 09:00-18:00; fri: 09:00-18:00; sat: 09:00-18:00; sun: 09:00-18:00,1
Ekskluziv Elektrik,+994000000000,,2.0,5.0,2,Ev və məişət | İşıqlandırma və elektrik | Ev və məişət | İşıqlandırma və elektrik,Ev və məişət,True,,,,Bakı,Nəsimi,Ceyhun Hacıbəyli,178,,"40.397039,49.843544",mon: 09:00-19:30; tue: 09:00-19:30; wed: 09:00-19:30; thu: 09:00-19:30; fri: 09:00-19:30; sat: 09:00-19:30; sun: 09:00-19:30,3
Divan House,+994125145808,,2.0,,0,"Ev və məişət | Mebel, interyer və ev üçün məhsullar",Ev və məişət,True,https://www.instagram.com/divan.house/,,,Bakı,Nizami,Babək prospekti,31,,"40.39075,49.890633",mon: 10:00-21:00; tue: 10:00-21:00; wed: 10:00-21:00; thu: 10:00-21:00; fri: 10:00-21:00; sat: 10:00-21:00,1
Telehome,,,4.0,3.5,1,Qurğu və texnologiyalar | Audio avadanlıq və aksessuarlar | Telefon və Cihazlar,Qurğu və texnologiyalar,True,https://www.instagram.com/telehome.elmler/,,,Bakı,Yasamal,Hüseyn Cavid prospekti,558,,"40.375844,49.816132",mon: 09:00-21:30; tue: 09:00-21:30; wed: 09:00-21:30; thu: 09:00-21:30; fri: 09:00-21:30; sat: 09:00-21:30; sun: 09:00-21:30,1
Norma Aptek,,,1.0,4.9,27,Gözəllik və sağlamlıq | Apteklər,Gözəllik və sağlamlıq,True,https://www.instagram.com/norma_aptek/?hl=ru,,,Bakı,Nərimanov,Həsən Əliyev,88,,"40.402885,49.851859",mon: 08:00-22:00; tue: 08:00-22:00; wed: 08:00-22:00; thu: 08:00-22:00; fri: 08:00-22:00; sat: 08:00-22:00; sun: 08:00-22:00,2
Christina Cosmetics,,,5.0,,0,Gözəllik və sağlamlıq | Kosmetika və qulluq məhsulları,Gözəllik və sağlamlıq,True,https://www.instagram.com/christina_cosmetics_baku/,,*UMICO bonusları əldə etmək üçün kartınızı təqdim etməlisiniz.,Bakı,Səbail,Ələsgər Ələkbərov,19/25,Space TV-nin arxasında,"40.36857,49.818176",mon: 11:00-18:30; tue: 11:00-18:30; wed: 11:00-18:30; thu: 11:00-18:30; fri: 11:00-18:30; sat: 11:00-18:30; sun: 11:00-18:00,1
Robotzadə,,https://www.robotzade.az/,2.0,,0,"Qurğu və texnologiyalar | Audio avadanlıq və aksessuarlar | Kompyuter texnikası və proqram təminatı | Oyun konsolları | Foto, video kameralar və aksessuarlar",Qurğu və texnologiyalar,True,https://www.instagram.com/robotzade.az/,,,Bakı,Nəsimi,Azadlıq prospekti,70,,"40.384224,49.845271",mon: 09:00-19:30; tue: 09:00-19:30; wed: 09:00-19:30; thu: 09:00-19:30; fri: 09:00-19:30; sat: 09:00-19:30; sun: 09:00-19:30,1
Filtrex,,,3.0,,0,Ev və məişət | Santexnika və su təchizatı,Ev və məişət,True,,,,Bakı,Nərimanov,Məmməd Araz ,43/7-24,,"40.406655,49.840282",mon: None-None; tue: None-None; wed: None-None; thu: None-None; fri: None-None; sat: None-None; sun: None-None,1
iSpace,+994124937333,https://almastore.az/,2.0,4.9,65,Qurğu və texnologiyalar | Audio avadanlıq və aksessuarlar | Kompyuter texnikası və proqram təminatı | Telefon və Cihazlar | Qurğu və texnologiyalar | Audio avadanlıq və aksessuarlar | Kompyuter texnikası və proqram təminatı | Telefon və Cihazlar,Qurğu və texnologiyalar,True,https://www.instagram.com/almastore/,https://www.facebook.com/almastorepage/,"Alma Store Apple məhsulların və xidmətlərinin Azərbaycanda premium distribyutorudur. Mağazada siz Iphone, MAC, Ipad və Ipodun tam orijinal məhsul çeşidi ilə yanaşı mütəxəssislərdən peşəkar məsləhətləri ala bilərsiniz. Alma Store- da məhsulları istifadə prosesində sınamaq, peşəkar texniki yardım almaq və müxtəlif təlimlərdə və təqdimatlarda iştirak edərkən öz bacarıqlarınızı və biliklərinizi artıracaqsınız.

*UMİCO taksitli alış-verişlərə tətbiq edilmir.

*UMİCO Black Friday aksiyasına şamil edilmir.
",Bakı,Səbail,Neftçilər Prospekti,42,"Park Bulvar Mall, 1-ci mərtəbə","40.378009,49.85344",mon: 10:00-22:00; tue: 10:00-22:00; wed: 10:00-22:00; thu: 10:00-22:00; fri: 10:00-22:00; sat: 10:00-22:00; sun: 10:00-22:00,4
